timestamp,project_name,team_size,bugs_fixed,tasks_completed,commit_count
2023-01-01,Project A,10,5,15,20
2023-01-02,Project A,10,3,10,18
2023-01-03,Project A,10,7,12,25
2023-01-04,Project A,10,4,14,22
2023-01-05,Project A,10,2,16,19
2023-01-06,Project A,10,6,18,21
2023-01-07,Project A,10,1,10,17
2023-01-08,Project A,10,5,13,23
2023-01-09,Project A,10,3,15,20
2023-01-10,Project A,10,4,11,24
2023-01-01,Project B,8,3,8,15
2023-01-02,Project B,8,1,5,12
2023-01-03,Project B,8,4,6,18
2023-01-04,Project B,8,2,7,14
2023-01-05,Project B,8,0,9,10
2023-01-06,Project B,8,3,7,13
2023-01-07,Project B,8,1,6,11
2023-01-08,Project B,8,2,5,16
2023-01-09,Project B,8,2,8,14
2023-01-10,Project B,8,3,6,17
